record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.cycle_length16[m],record.heart_rate[bpm],record.cadence[rpm],record.fractional_cadence[rpm],record.unknown,record.developer.0.Current Sound Value,record.developer.0.Maximum Sound Threshold,record.developer.0.Current Temperature Value,record.developer.0.Maximum Temperature Threshold,record.developer.0.Minimum Temperature Threshold,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1079980618","14.82","1153.6","653.36","111","0","0.0","52","50","80","26.461267","20.0","35.0","609707429","-1361817294","0.0",
"1079980619","14.82","1153.6","653.36","113","0","0.0","52","43","80","26.461267","20.0","35.0","609707429","-1361817294","0.0",
"1079980620","14.82","1153.6","653.36","108","0","0.0","52","45","80","26.471338","20.0","35.0","609707429","-1361817294","0.0",
"1079980621","14.82","1153.6","653.36","105","0","0.0","52","44","80","26.471338","20.0","35.0","609707429","-1361817294","0.0",
"1079980622","14.82","1153.6","653.36","105","0","0.0","52","45","80","26.471338","20.0","35.0","609707429","-1361817294","0.0",
"1079980623","14.82","1153.6","0.0","103","0","0.0","52","41","80","26.471338","20.0","35.0","609707429","-1361817294","0.0",
"1079980625","14.82","1153.4","0.0","103","0","0.0","52","43","80","26.481411","20.0","35.0","609707429","-1361817294","0.0",
"1079980626","14.82","1153.4","0.0","104","0","0.0","52","47","80","26.481411","20.0","35.0","609707429","-1361817294","0.0",
"1079980627","14.82","1153.4","0.0","104","0","0.0","52","43","80","26.501553","20.0","35.0","609707429","-1361817294","0.0",
"1079980628","14.82","1153.4","0.0","105","0","0.0","52","41","80","26.501553","20.0","27.0","609707429","-1361817294","0.0",
"1079980629","14.82","1153.4","0.0","105","0","0.0","52","46","80","26.511625","20.0","27.0","609707495","-1361817294","0.0",
"1079980630","14.82","1153.4","0.0","105","0","0.0","52","45","80","26.511625","20.0","27.0","609707513","-1361817294","0.0",
"1079980631","14.82","1153.4","0.0","105","0","0.0","52","53","80","26.511625","20.0","27.0","609707523","-1361817294","0.0",
"1079980632","14.82","1153.4","0.0","105","0","0.0","52","67","80","26.511625","20.0","27.0","609707529","-1361817294","0.0",
"1079980633","14.82","1153.2","0.0","105","0","0.0","52","89","80","26.83391","20.0","27.0","609707544","-1361817294","0.0",
"1079980634","14.82","1153.2","363.22","105","0","0.0","52","78","80","26.90441","20.0","27.0","609707546","-1361817294","0.0",
"1079980635","14.85","1153.2","0.0","104","0","0.0","52","83","80","26.753338","20.0","27.0","609707546","-1361817288","0.0",
"1079980636","14.93","1153.2","0.0","103","0","0.0","52","58","80","26.743267","20.0","27.0","609707546","-1361817275","0.0",
"1079980637","14.97","1153.2","363.12","103","0","0.0","52","55","80","26.743267","20.0","27.0","609707546","-1361817267","0.0",
"1079980638","15.13","1153.2","0.0","102","0","0.0","52","48","80","26.743267","20.0","27.0","609707546","-1361817237","0.0",
"1079980639","15.53","1153.2","0.0","102","0","0.0","52","50","80","26.773481","20.0","27.0","609707546","-1361817165","0.0",
"1079980640","15.9","1153.2","0.0","103","0","0.0","52","51","80","26.773481","20.0","27.0","609707546","-1361817097","0.0",
"1079980641","16.13","1153.2","0.0","103","0","0.0","52","46","80","26.783552","20.0","27.0","609707546","-1361817054","0.0",
"1079980642","16.31","1153.2","0.0","102","0","0.0","52","39","80","26.783552","20.0","27.0","609707546","-1361817022","0.0",
"1079980643","16.47","1153.2","0.0","102","0","0.0","52","43","80","26.783552","20.0","27.0","609707546","-1361816993","0.0",
"1079980644","16.53","1153.2","0.0","102","0","0.0","52","43","80","26.783552","20.0","27.0","609707532","-1361816989","0.0",
"1079980645","16.56","1153.0","0.0","102","0","0.0","52","44","80","26.793625","20.0","27.0","609707525","-1361816989","0.0",
"1079980646","16.59","1153.0","0.0","89","0","0.0","52","44","80","26.793625","20.0","27.0","609707516","-1361816989","0.0",
"1079980647","16.6","1153.0","0.0","88","0","0.0","52","47","80","26.813766","20.0","27.0","609707514","-1361816989","0.0",
"1079980648","16.64","1153.0","0.0","101","0","0.0","52","43","80","26.813766","20.0","27.0","609707503","-1361816989","0.0",
"1079980649","16.7","1153.0","0.0","101","0","0.0","52","41","80","26.82384","20.0","27.0","609707483","-1361816989","0.0",
"1079980650","16.79","1153.0","0.0","101","0","0.0","52","43","80","26.83391","20.0","27.0","609707456","-1361816989","0.0",
"1079980651","16.85","1153.0","0.0","101","0","0.0","52","40","80","26.82384","20.0","27.0","609707440","-1361816989","0.0",
"1079980652","16.86","1153.0","0.0","100","0","0.0","52","45","80","26.83391","20.0","27.0","609707436","-1361816989","0.0",
"1079980654","16.9","1152.8","0.0","95","0","0.0","52","42","120","26.854053","20.0","27.0","609707425","-1361816989","0.0",
"1079980655","16.91","1152.8","0.0","95","0","0.0","52","52","120","26.854053","20.0","27.0","609707422","-1361816989","0.0",
"1079980656","16.91","1152.8","0.0","95","0","0.0","52","48","120","27.055481","20.0","27.0","609707421","-1361816989","0.0",
"1079980657","16.91","1152.8","367.52","96","0","0.0","52","84","120","27.458338","20.0","27.0","609707420","-1361816989","0.0",
"1079980658","16.91","1152.8","0.0","97","0","0.0","52","85","120","27.367695","20.0","27.0","609707405","-1361816999","0.0",
"1079980659","16.91","1152.8","0.0","97","0","0.0","52","68","120","27.105839","20.0","27.0","609707394","-1361817028","0.0",
"1079980660","16.91","1152.8","0.0","98","0","0.0","52","58","120","27.136053","20.0","27.0","609707378","-1361817053","0.0",
"1079980661","16.91","1152.8","0.0","98","0","0.0","52","48","120","27.136053","20.0","27.0","609707371","-1361817077","0.0",
"1079980662","16.91","1152.6","0.0","97","0","0.0","52","48","120","27.146124","20.0","27.0","609707367","-1361817109","0.0",
"1079980663","16.91","1152.6","0.0","96","0","0.0","52","64","120","27.146124","20.0","27.0","609707366","-1361817117","0.0",
"1079980664","16.91","1152.8","370.2","95","0","0.0","52","48","120","27.166267","20.0","27.0","609707365","-1361817119","0.0",
"1079980665","16.91","1152.8","0.0","95","0","0.0","52","38","120","27.166267","20.0","27.0","609707364","-1361817119","0.0",
"1079980666","16.95","1152.8","0.0","96","0","0.0","52","45","120","27.146124","20.0","27.0","609707352","-1361817120","0.0",
"1079980667","17.02","1152.8","0.0","96","0","0.0","52","44","120","27.146124","20.0","27.0","609707332","-1361817120","0.0",
"1079980668","17.06","1152.8","0.0","97","0","0.0","52","45","120","27.166267","20.0","27.0","609707319","-1361817120","0.0",
"1079980669","17.14","1152.8","0.0","101","0","0.0","52","39","120","27.166267","20.0","27.0","609707297","-1361817120","0.0",
